,Name,Symbol
0,Agilent Technologies Inc. Common Stock,A
1,Alcoa Corporation Common Stock ,AA
2,Ares Acquisition Corporation Class A Ordinary Shares,AAC
3,ATA Creativity Global American Depositary Shares,AACG
4,Armada Acquisition Corp. I Unit,AACIU
5,Armada Acquisition Corp. I Warrant,AACIW
6,Aadi Bioscience Inc. Common Stock,AADI
7,Arlington Asset Investment Corp Class A (new),AAIC
8,Arlington Asset Investment Corp 7.00% ,AAIC^B
9,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC^C
10,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,AAIN
11,American Airlines Group Inc. Common Stock,AAL
12,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,AAM^A
13,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,AAM^B
14,Altisource Asset Management Corp Com,AAMC
15,Atlantic American Corporation Common Stock,AAME
16,Aarons Holdings Company Inc. Common Stock ,AAN
17,Applied Optoelectronics Inc. Common Stock,AAOI
18,AAON Inc. Common Stock,AAON
19,Advance Auto Parts Inc.,AAP
20,Apple Inc. Common Stock,AAPL
21,Accelerate Acquisition Corp. Class A Common Stock,AAQC
22,American Assets Trust Inc. Common Stock,AAT
23,Autoscope Technologies Corporation Common Stock,AATC
24,Almaden Minerals Ltd. Common Shares,AAU
25,Atlas Air Worldwide Holdings NEW Common Stock,AAWW
26,AllianceBernstein Holding L.P.  Units,AB
27,ABB Ltd Common Stock,ABB
28,AbbVie Inc. Common Stock,ABBV
29,AmerisourceBergen Corporation Common Stock,ABC
30,Ameris Bancorp Common Stock,ABCB
31,AbCellera Biologics Inc. Common Shares,ABCL
32,Abcam plc American Depositary Shares,ABCM
33,Abeona Therapeutics Inc. Common Stock,ABEO
34,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV
35,Asbury Automotive Group Inc Common Stock,ABG
36,ABG Acquisition Corp. I Class A Ordinary Shares,ABGI
37,ARCA biopharma Inc. Common Stock,ABIO
38,ABM Industries Incorporated Common Stock,ABM
39,ABIOMED Inc. Common Stock,ABMD
40,Airbnb Inc. Class A Common Stock,ABNB
41,Acumen Pharmaceuticals Inc. Common Stock,ABOS
42,Arbor Realty Trust Common Stock,ABR
43,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,ABR^D
44,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,ABR^E
45,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,ABR^F
46,Absci Corporation Common Stock,ABSI
47,Absolute Software Corporation Common Stock,ABST
48,Abbott Laboratories Common Stock,ABT
49,Allegiance Bancshares Inc. Common Stock,ABTX
50,Arbutus Biopharma Corporation Common Stock,ABUS
51,ABVC BioPharma Inc. Common Stock,ABVC
52,Associated Capital Group Inc. Common Stock,AC
53,Arcosa Inc. Common Stock ,ACA
54,Atlantic Coastal Acquisition Corp. II Class A Common Stock,ACAB
55,Atlantic Coastal Acquisition Corp. II Unit,ACABU
56,Atlantic Coastal Acquisition Corp. II Warrant,ACABW
57,Acri Capital Acquisition Corporation Class A Common Stock,ACAC
